"plus","m&aacute;s $VAR$ *"
"cartesianproduct","cruz $VAR$ *"
"times","por $VAR$ *"
"geq","mayor o igual que $VAR$ *"
"leq","menor o igual que $VAR$ *"
"compose","compuesta $VAR$ *"
"and","y $VAR$ *"
"lt","menor que $VAR$ *"
"gt","mayor que $VAR$ *"
"or","o $VAR$ *"
"union","union $VAR$ *"
"vector","coma $VAR$ *"
"function","coma $VAR$ *"
"intersect","intersecci&oacute;n $VAR$ *"
"subset","subconjunto de $VAR$ *"
"eq","es igual a $VAR$ *"
"gcd","coma $VAR$ *"
"prsubset","subconjunto propio de $VAR$ *"
"lcm","coma $VAR$ *"
"set","coma $VAR$ *"
"max","coma $VAR$ *"
"vector","coma $VAR$ *"
"min","coma $VAR$ *"
"list","coma $VAR$ *"
